FMID,MostRecentOpeningDate
1002541,
1002544,
1002546,2014-10-25
1002547,
1002551,2013-10-31
1002563,2016-10-22
1002567,
1002568,
1002569,
1002578,2014-12-31
1002579,
1002588,2013-10-25
1002589,2013-10-30
1002594,
1002595,
1002596,
1002597,
1002601,2013-10-26
1002602,2015-03-25
1002608,2014-10-18
1002609,2014-10-25
1002611,2014-09-20
1002614,2014-10-25
1002615,2014-11-01
1002617,2014-10-25
1002618,2016-10-26
1002629,
1002630,2012-08-15
1002631,2015-12-31
1002632,2014-12-31
1002633,2013-10-26
1002634,
1002639,
1002640,
1002641,2014-10-04
1002643,
1002645,
1002647,
1002648,2014-10-29
1002650,
1002652,2015-05-26
1002656,2013-10-31
1002657,
1002659,
1002660,
1002661,
1002663,
1002664,
1002665,
1002666,2015-11-08
1002669,2016-04-17
1002672,
1002673,2015-04-25
1002674,2016-12-01
1002683,2012-10-31
1002686,2016-09-15
1002690,2014-10-29
1002693,2014-09-25
1002700,2015-10-21
1002704,
1002705,
1002708,2016-09-27
1002713,
1002717,2016-10-27
1002720,2014-10-31
1002722,2016-10-24
1002724,
1002725,
1002726,
1002727,2013-10-05
1002729,2014-10-15
1002735,2013-12-31
1002736,2016-12-31
1002737,2016-12-31
1002738,2016-12-31
1002739,2016-12-31
1002740,2016-12-31
1002741,2016-12-31
1002742,2016-09-29
1002743,2016-12-31
1002744,2016-12-31
1002745,2016-12-31
1002746,2016-12-31
1002749,2014-10-04
1002754,2014-11-22
1002756,2017-04-29
1002758,
1002763,2016-10-29
1002764,2015-09-11
1002765,2015-10-24
1002766,2015-09-06
1002767,2015-09-08
1002768,2015-09-03
1002769,2015-09-12
1002770,
1002775,2015-04-18
1002776,2016-10-26
1002777,
1002778,
1002783,2016-12-01
1002787,2015-11-19
1002788,2012-12-31
1002793,2014-05-03
1002794,
1002796,2014-12-31
1002798,
1002800,2014-10-25
1002802,2014-12-01
1002803,2013-10-29
1002807,
1002808,2015-09-24
1002815,2014-10-25
1002816,2016-10-28
1002818,2015-10-28
1002819,2013-10-03
1002820,2015-03-31
1002821,2014-09-27
1002831,
1002836,
1002837,2014-10-14
1002838,2014-10-29
1002843,2013-10-11
1002844,2014-04-05
1002845,2013-11-02
1002848,2017-04-29
1002850,2014-10-11
1002851,2016-10-08
1002854,
1002856,2013-12-31
1002860,2013-09-26
1002870,2017-03-31
1002872,2014-09-27
1002880,2016-10-15
1002881,2012-12-31
1002884,2013-10-19
1002885,2014-10-18
1002887,2014-11-15
1002888,2014-10-10
1002890,2016-12-31
1002891,2014-10-25
1002895,2013-08-30
1002896,
1002901,2014-09-30
1002905,2016-12-31
1002907,2014-12-31
1002912,2013-09-25
1002913,2013-12-14
1002914,2013-01-01
1002915,
1002917,2016-10-27
1002919,
1002920,2014-09-18
1002922,2014-09-27
1002923,
1002928,2012-11-01
1002929,2017-05-12
1002933,2014-10-28
1002941,2014-10-31
1002948,
1002950,2014-10-04
1002951,2015-05-30
1002958,2017-05-06
1002959,2014-10-29
1002967,2016-04-30
1002969,2016-10-13
1002971,
1002972,
1002975,2014-11-22
1002980,
1002984,
1002985,
1002988,2013-12-31
1002993,2013-12-31
1003000,
1003002,2013-12-28
1003003,2015-05-01
1003004,2015-05-01
1003008,
1003011,2016-10-15
1003017,
1003020,2012-08-24
1003021,2013-10-05
1003022,
1003027,2015-04-16
1003032,2016-10-04
1003033,
1003034,
1003035,
1003041,2015-09-25
1003043,2016-10-25
1003046,2015-10-21
1003047,2014-11-25
1003059,2016-12-31
1003060,
1003061,2015-10-31
1003062,2015-11-01
1003063,2015-11-01
1003065,
1003066,
1003067,2016-10-28
1003068,2016-10-29
1003073,2014-09-27
1003074,2015-10-06
1003076,2014-10-07
1003077,2013-12-19
1003080,2015-03-31
1003081,2016-11-19
1003082,2014-08-28
1003085,2013-10-26
1003097,2013-10-18
1003098,2015-10-10
1003103,2016-10-29
1003112,2016-09-24
1003116,2014-10-02
1003117,2014-10-31
1003120,2013-10-26
1003121,2015-12-22
1003124,
1003126,2014-12-31
1003131,2015-10-31
1003133,2013-12-31
1003137,2014-07-24
1003140,2013-11-20
1003143,2014-10-04
1003146,2014-10-30
1003148,2014-11-01
1003151,2016-10-30
1003153,2013-09-03
1003155,
1003159,2014-10-25
1003160,2014-12-31
1003164,2014-09-06
1003169,2016-09-10
1003170,2016-10-29
1003171,2016-10-30
1003175,2014-08-30
1003176,2013-08-16
1003180,2014-12-31
1003182,
1003189,2016-10-25
1003190,2016-10-29
1003197,2014-08-28
1003199,2015-12-31
1003206,
1003208,2014-10-25
1003209,
1003212,
1003213,
1003219,2015-12-05
1003220,
1003222,2014-10-28
1003224,
1003226,
1003229,
1003238,2015-12-31
1003241,
1003250,2014-10-15
1003251,2014-09-09
1003252,2013-11-02
1003257,2014-09-25
1003259,2011-10-31
1003260,2014-10-26
1003269,2014-04-19
1003272,2013-11-24
1003278,2014-10-25
1003279,2014-09-24
1003280,2013-10-24
1003281,
1003282,
1003285,2013-10-06
1003288,2015-09-28
1003290,2015-10-24
1003291,
1003292,
1003293,2014-10-16
1003294,2014-10-12
1003295,2013-09-25
1003299,2014-10-29
1003302,2016-12-31
1003303,
1003307,2016-10-27
1003308,2013-10-26
1003309,
1003310,2013-11-23
1003321,2012-10-31
1003322,2014-10-30
1003324,
1003325,2014-12-31
1003327,2013-11-16
1003331,2014-12-31
1003332,2014-10-29
1003333,
1003342,2015-08-26
1003343,2016-11-15
1003345,
1003346,2013-08-29
1003350,2016-10-29
1003353,
1003354,2015-09-16
1003356,2016-12-17
1003357,2016-10-16
1003358,2016-09-29
1003364,2013-12-27
1003368,2013-09-05
1003371,2013-08-31
1003376,2014-11-01
1003377,2015-09-26
1003378,2014-10-11
1003379,
1003382,2014-12-31
1003383,2013-08-31
1003392,
1003393,
1003394,
1003398,2013-09-24
1003399,2014-11-01
1003402,
1003408,
1003411,2016-10-12
1003412,2016-10-13
1003413,2016-10-06
1003414,2013-10-05
1003415,2014-09-27
1003418,2014-06-27
1003419,2015-12-31
1003425,2015-10-10
1003428,2014-11-01
1003435,
1003436,2014-10-31
1003450,
1003451,
1003454,2015-10-10
1003458,2014-10-15
1003459,2014-10-24
1003460,2016-10-28
1003461,2014-04-30
1003465,
1003469,2012-10-21
1003470,2013-10-17
1003472,2016-11-20
1003473,
1003474,2015-12-19
1003478,
1003488,2014-11-01
1003489,2013-10-16
1003490,
1003492,2016-10-01
1003500,2016-10-01
1003502,2016-10-07
1003504,2017-04-29
1003508,
1003511,2014-11-22
1003512,2014-11-27
1003514,2011-12-31
1003516,2015-10-14
1003520,
1003521,
1003524,2015-12-31
1003525,
1003529,
1003531,2014-09-09
1003532,
1003539,
1003547,
1003549,
1003553,
1003554,2016-10-30
1003561,2012-10-31
1003562,2015-12-31
1003563,2013-09-28
1003568,
1003570,2016-10-01
1003578,2015-10-31
1003582,2013-09-28
1003585,2013-12-20
1003588,2013-10-30
1003592,2014-10-17
1003600,2016-09-28
1003603,2013-10-12
1003604,2015-09-17
1003605,2013-10-26
1003606,2016-10-29
1003607,
1003609,2016-12-31
1003610,2016-12-22
1003611,2016-12-13
1003627,2014-11-22
1003628,2014-10-25
1003629,
1003632,2013-12-20
1003634,
1003637,2016-10-29
1003638,2013-01-01
1003643,2016-10-29
1003646,
1003648,
1003649,
1003652,2012-10-03
1003655,2016-11-22
1003660,2015-04-25
1003661,2013-10-13
1003662,2014-10-18
1003663,
1003664,2015-12-12
1003665,2014-10-30
1003666,
1003667,2013-11-24
1003669,2014-12-31
1003671,2013-01-01
1003672,2016-09-29
1003673,2014-12-01
1003676,
1003677,2015-10-14
1003678,2014-12-31
1003679,2013-08-01
1003680,2015-09-26
1003681,2016-11-30
1003684,
1003688,
1003689,
1003690,
1003694,2016-10-19
1003696,
1003700,
1003701,
1003702,2014-12-31
1003705,2014-12-31
1003706,2014-12-31
1003707,2014-12-31
1003710,
1003711,
1003713,
1003731,
1003732,2013-10-19
1003734,2015-09-12
1003738,
1003739,2014-10-26
1003740,2014-10-15
1003741,
1003742,2014-12-20
1003744,2014-10-02
1003745,2014-03-22
1003746,2014-12-20
1003749,2014-10-25
1003752,2013-10-26
1003753,2014-10-18
1003755,2014-10-16
1003758,2015-12-31
1003759,2015-10-31
1003760,2015-10-06
1003763,2014-10-25
1003766,2014-11-01
1003768,
1003769,2014-10-17
1003771,
1003772,2014-09-30
1003776,2014-10-08
1003777,2014-09-25
1003778,2014-11-15
1003782,2013-10-12
1003788,
1003789,
1003795,2016-10-29
1003796,2016-12-31
1003797,
1003803,2014-11-15
1003804,
1003805,2012-12-31
1003806,2016-11-12
1003808,2014-09-27
1003809,
1003810,
1003811,
1003812,
1003813,
1003815,
1003817,2015-10-08
1003818,2016-10-08
1003819,2016-10-29
1003820,2016-04-15
1003821,
1003822,2013-10-30
1003823,2013-10-10
1003826,2016-11-26
1003827,
1003828,2012-10-31
1003831,2013-12-31
1003833,2013-11-14
1003834,2013-12-31
1003835,2013-12-31
1003836,2016-12-31
1003837,2015-12-20
1003840,2015-10-16
1003842,2014-12-31
1003843,
1003845,
1003846,
1003848,2014-10-27
1003849,2015-10-08
1003855,2014-09-24
1003858,2014-12-31
1003859,2014-12-01
1003860,2014-10-09
1003863,2016-10-08
1003876,
1003877,
1003878,
1003879,
1003881,2016-10-27
1003882,2015-03-28
1003886,2014-09-18
1003889,2013-10-30
1003891,
1003892,2014-09-27
1003893,2015-10-09
1003895,2016-08-26
1003898,
1003899,2015-12-31
1003900,2014-12-31
1003903,2016-09-30
1003904,2013-09-05
1003905,2014-10-12
1003908,2015-09-12
1003915,2015-12-12
1003923,
1003926,2015-09-18
1003927,2015-10-28
1003928,2013-10-12
1003929,2013-01-01
1003932,
1003933,
